,d,indep,Linearity,log_n_components,log_hidden_size,value,Time
84,50,0,Non-linear,7.0,2.0,1.699827790260315,445.6274149417877
85,50,0,Non-linear,3.0,2.0,-0.18044038116931915,362.79777097702026
86,50,0,Non-linear,4.0,2.0,0.07566462457180023,360.73385190963745
87,50,0,Non-linear,6.0,2.0,-0.09562818706035614,296.4849729537964
88,50,0,Non-linear,7.0,2.0,0.7073550224304199,355.3689420223236
89,50,0,Non-linear,3.0,2.0,0.620883047580719,443.08292412757874
90,50,0,Non-linear,7.0,2.0,0.7415550947189331,427.99321699142456
91,50,0,Non-linear,8.0,2.0,0.14148293435573578,356.5346448421478
92,75,1,Non-linear,8.0,2.0,-0.9373548626899719,270.6268060207367
93,75,1,Non-linear,8.0,2.0,-0.8686006665229797,282.45560693740845
94,75,1,Non-linear,7.0,2.0,-0.7858529686927795,278.6573848724365
95,75,1,Non-linear,3.0,2.0,-1.2168093919754028,245.45772695541382
96,50,0,Non-linear,4.0,2.0,-0.25405678153038025,332.3441307544708
97,50,0,Non-linear,6.0,2.0,-0.20311470329761505,368.95568203926086
98,50,0,Non-linear,4.0,2.0,-0.34772270917892456,273.3452467918396
99,50,0,Non-linear,8.0,2.0,0.00942154973745346,307.69067788124084
100,75,1,Non-linear,8.0,2.0,-0.6105555295944214,307.36644196510315
101,75,1,Non-linear,3.0,2.0,0.6581171751022339,324.83548498153687
102,75,1,Non-linear,8.0,3.0,-0.7468922138214111,322.3938641548157
103,75,1,Non-linear,6.0,8.0,-1.560813307762146,336.4805200099945
104,75,1,Non-linear,6.0,2.0,-0.5548577308654785,286.3545536994934
105,75,1,Non-linear,8.0,2.0,-1.2073657512664795,293.46046900749207
106,75,1,Non-linear,7.0,3.0,1.0611146688461304,429.29708528518677
107,75,1,Non-linear,7.0,2.0,-0.9207223057746887,295.60924792289734
108,50,0,Non-linear,8.0,2.0,-0.46904104948043823,314.89198088645935
109,50,0,Non-linear,4.0,2.0,0.25403016805648804,327.34001994132996
110,50,0,Non-linear,8.0,2.0,-0.5975416898727417,280.9315869808197
111,50,0,Non-linear,8.0,2.0,4.024321556091309,875.4475848674774
112,75,1,Non-linear,5.0,2.0,-1.171663522720337,282.26838874816895
113,75,1,Non-linear,3.0,2.0,-0.22712931036949158,353.0097711086273
114,75,1,Non-linear,8.0,2.0,-0.02237551286816597,361.0001449584961
115,75,1,Non-linear,4.0,2.0,-0.6076118350028992,295.2262098789215
116,75,1,Non-linear,8.0,2.0,-1.169717788696289,293.318176984787
117,75,1,Non-linear,5.0,2.0,-1.0955030918121338,267.93903708457947
118,75,1,Non-linear,5.0,2.0,-1.0270832777023315,272.3032729625702
119,75,1,Non-linear,6.0,2.0,5.4230194091796875,783.1819808483124
120,75,1,Non-linear,4.0,2.0,5.3331780433654785,663.613429069519
121,75,1,Non-linear,7.0,2.0,-0.142597958445549,332.47824692726135
122,75,1,Non-linear,8.0,2.0,-0.5991536378860474,345.57500195503235
123,75,1,Non-linear,8.0,2.0,4.57585334777832,754.199716091156
124,75,1,Non-linear,5.0,2.0,-0.41662970185279846,323.876953125
125,75,0,Non-linear,3.0,2.0,0.8544405698776245,413.2096047401428
126,75,0,Non-linear,3.0,2.0,0.16213646531105042,318.40244793891907
127,75,0,Non-linear,6.0,2.0,-0.3901587128639221,278.37012219429016
128,75,0,Non-linear,3.0,2.0,0.4435499310493469,407.30237102508545
129,75,0,Non-linear,7.0,2.0,-1.9506298303604126,305.25345396995544
130,75,0,Non-linear,7.0,2.0,-0.10736878961324692,321.8396179676056
131,75,0,Non-linear,6.0,2.0,0.4694558084011078,343.14226484298706
132,75,0,Non-linear,8.0,2.0,-0.3919573724269867,336.21997904777527
133,75,0,Non-linear,3.0,2.0,-0.38341864943504333,274.04067373275757
134,75,0,Non-linear,7.0,3.0,-0.4174737334251404,291.9159417152405
135,75,0,Non-linear,3.0,2.0,0.22881968319416046,321.1789848804474
136,75,0,Non-linear,8.0,2.0,0.3077899217605591,380.9756090641022
137,75,0,Non-linear,5.0,3.0,-0.04200499504804611,358.21477699279785
138,75,0,Non-linear,5.0,2.0,0.5274333953857422,346.945121049881
139,75,0,Non-linear,4.0,3.0,-0.6593405604362488,328.6670289039612
140,75,0,Non-linear,5.0,2.0,-2.08076810836792,279.94702792167664
141,75,0,Non-linear,4.0,2.0,0.17005173861980438,318.63304114341736
142,75,0,Non-linear,6.0,2.0,2.409341335296631,497.036669254303
143,75,0,Non-linear,8.0,2.0,0.09460888803005219,392.3049509525299
144,75,0,Non-linear,3.0,2.0,-0.2864507734775543,267.2223250865936
145,75,0,Non-linear,7.0,2.0,-0.07621631771326065,284.7141740322113
146,100,1,Non-linear,8.0,2.0,-1.0521491765975952,289.8467218875885
147,100,1,Non-linear,8.0,2.0,-0.7647298574447632,318.77602910995483
148,75,0,Non-linear,5.0,2.0,-0.5216788053512573,281.45902824401855
149,75,0,Non-linear,4.0,2.0,3.552971601486206,639.5397918224335
150,75,0,Non-linear,7.0,2.0,-0.2677217125892639,335.36145210266113
151,75,0,Non-linear,4.0,2.0,-0.1534583866596222,345.79954290390015
152,100,1,Non-linear,5.0,2.0,-0.9888519048690796,243.07573699951172
153,100,1,Non-linear,8.0,2.0,-1.2953455448150635,262.3553309440613
154,100,1,Non-linear,6.0,2.0,-0.6214264631271362,297.0133249759674
155,100,1,Non-linear,7.0,2.0,-1.2311031818389893,297.1762170791626
156,100,1,Non-linear,8.0,2.0,1.1419169902801514,468.1096498966217
157,100,1,Non-linear,3.0,2.0,-0.8341635465621948,258.9478483200073
158,100,1,Non-linear,6.0,2.0,0.1964922845363617,368.46652698516846
159,100,1,Non-linear,6.0,2.0,0.5836566090583801,361.137570142746
